time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
60,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FLYING_NORMAL_OP]),2,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [2]),2,,([OP_STOP_LAUNCH_OP])
61,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FLYING_NORMAL_OP]),2,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [2]),2,,([OP_STOP_LAUNCH_OP])
62,(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_FLYING_NORMAL_OP]),2,(Operator POKE_OGUI [1]),1,(Operator POKE_OGUI [1]),1,,
63,(MissionManager IDLE [VO_POKE_MM])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_FLYING_NORMAL_OP]),3,(MissionManager IDLE [1])(Operator POKE_OGUI [1]),2,(MissionManager IDLE [1])(Operator POKE_OGUI [1]),2,,
64,(MissionManager IDLE [VO_POKE_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),3,(MissionManager IDLE [1])(Operator TX_OGUI [10]),11,(MissionManager IDLE [1])(Operator TX_OGUI [1]),2,,
65,(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),2,(Operator TX_OGUI [10]),10,(Operator TX_OGUI [1]),1,,
66,(MissionManager RX_VO [VO_TARGET_SIGHTED_T_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),3,(MissionManager RX_VO [1])(Operator TX_OGUI [10]),11,(MissionManager RX_VO [1])(Operator TX_OGUI [1]),2,([MM_START_LISTEN_TO_VO_MM]),
67,(MissionManager IDLE [VO_TARGET_SIGHTED_T_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),3,(MissionManager IDLE [1])(Operator TX_OGUI [10]),11,(MissionManager IDLE [2])(Operator TX_OGUI [1]),3,,([MM_STOP_LISTEN_TO_VO_MM])
68,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(ParentSearch IDLE [1])(Operator TX_OGUI [10]),11,(ParentSearch IDLE [1])(Operator TX_OGUI [1]),2,,
69,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(ParentSearch IDLE [1])(Operator TX_OGUI [10]),11,(ParentSearch IDLE [1])(Operator TX_OGUI [1]),2,,
70,(MissionManager POKE_PS [PS_ACK_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),3,(MissionManager POKE_PS [1])(Operator TX_OGUI [10]),11,(MissionManager POKE_PS [1])(Operator TX_OGUI [1]),2,,
71,(MissionManager TX_PS [PS_ACK_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),3,(MissionManager TX_PS [10])(Operator TX_OGUI [10]),20,(MissionManager TX_PS [2])(Operator TX_OGUI [1]),3,,
77,(MissionManager TX_PS [PS_ACK_MM])(Operator END_OGUI [UAV_FLYING_OP])(Operator END_OGUI [OGUI_FLYING_NORMAL_OP]),3,(MissionManager TX_PS [10])(Operator END_OGUI [1]),11,(MissionManager TX_PS [2])(Operator END_OGUI [1]),3,,([OP_STOP_SET_AOI_OP])
78,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FLYING_NORMAL_OP]),3,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),20,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),3,,
79,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP]),2,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),20,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),3,,
80,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP]),4,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10])(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),40,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1])(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),6,,
81,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),6,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10])(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),40,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1])(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),6,,
82,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),6,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10])(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),40,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1])(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),6,,
83,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),6,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10])(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),40,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1])(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),6,,
84,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),6,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10])(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),40,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1])(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),6,,
