time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
210,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
211,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
212,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
213,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
214,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
215,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
216,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
217,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
218,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
219,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
220,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
221,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_GUI [5]),5,(Operator OBSERVE_GUI [1]),1,,
222,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
223,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
224,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
225,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
226,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
227,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
228,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
229,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_BATTERY_LOW_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
230,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_BATTERY_LOW_OP]),2,(Operator OBSERVE_UAV [10]),10,(Operator OBSERVE_UAV [1]),1,,
240,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_BATTERY_LOW_OP]),2,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [2]),2,,
241,(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_BATTERY_LOW_OP]),2,(Operator POKE_OGUI [1]),1,(Operator POKE_OGUI [1]),1,,
242,(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP]),2,(Operator TX_OGUI [10]),10,(Operator TX_OGUI [1]),1,,
251,(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP]),2,(Operator TX_OGUI [10]),10,(Operator TX_OGUI [1]),1,,
252,(Operator END_OGUI [UAV_CRASHED_OP])(Operator END_OGUI [OGUI_FP_PAUSED_OP]),2,(Operator END_OGUI [1]),1,(Operator END_OGUI [1]),1,,
253,(Operator OBSERVE_GUI [UAV_CRASHED_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_CRASHED_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_CRASHED_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_CRASHED_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_CRASHED_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_CRASHED_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),12,(Operator OBSERVE_GUI [5])(Operator OBSERVE_GUI [6])(Operator OBSERVE_GUI [7])(Operator OBSERVE_GUI [8])(Operator OBSERVE_GUI [9])(Operator OBSERVE_GUI [10]),45,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),6,,
258,(Operator OBSERVE_UAV [UAV_CRASHED_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),2,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [2]),2,,
259,(MissionManager IDLE [OP_POKE_MM])(Operator OBSERVE_UAV [UAV_CRASHED_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),3,(MissionManager IDLE [1])(Operator OBSERVE_UAV [1]),2,(MissionManager IDLE [1])(Operator OBSERVE_UAV [2]),3,,
260,(Operator POKE_MM [UAV_CRASHED_OP])(Operator POKE_MM [OGUI_FP_PAUSED_OP])(Operator POKE_MM [MM_ACK_OP])(MissionManager IDLE [OP_POKE_MM])(Operator OBSERVE_UAV [UAV_CRASHED_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),6,(Operator POKE_MM [1])(MissionManager IDLE [1])(Operator OBSERVE_UAV [1]),3,(Operator POKE_MM [1])(MissionManager IDLE [1])(Operator OBSERVE_UAV [2]),4,,
261,(Operator TX_MM [UAV_CRASHED_OP])(Operator TX_MM [OGUI_FP_PAUSED_OP])(Operator TX_MM [MM_ACK_OP])(Operator POKE_MM [UAV_CRASHED_OP])(Operator POKE_MM [OGUI_FP_PAUSED_OP])(Operator POKE_MM [MM_ACK_OP])(MissionManager IDLE [OP_POKE_MM])(Operator OBSERVE_UAV [UAV_CRASHED_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),9,(Operator TX_MM [10])(Operator POKE_MM [1])(MissionManager IDLE [1])(Operator OBSERVE_UAV [1]),13,(Operator TX_MM [1])(Operator POKE_MM [1])(MissionManager IDLE [1])(Operator OBSERVE_UAV [2]),5,,
